name,code,first contract date,first data date,currency,group,universe,,,,,
Cotton No. 2,CT,3/1/1980,9/19/1978,USD,Agricultural,20Y,,,,,
Coffee C,KC,3/1/1980,12/14/1978,USD,Agricultural,20Y,,,,,
Random Length Lumber,LB,1/1/1980,3/21/1979,USD,Agricultural,20Y,,,,,
London Cocoa,LCC,3/1/1983,10/1/1981,GBP,Agricultural,20Y,,,,,
Robusta Coffee 10 Tonne,LRC,1/1/1983,12/1/1981,USD,Agricultural,20Y,,,,,
FCOJ-A,OJ,1/1/1980,8/8/1978,USD,Agricultural,20Y,,,,,
Sugar No. 11,SB,1/1/1980,9/21/1978,USD,Agricultural,20Y,,,,,
Corn,C,3/1/1979,1/4/1978,USD,Agricultural,20Y,,,,,
KC HRW Wheat,KW,3/1/1980,4/23/1979,USD,Agricultural,20Y,,,,,
Hard Red Spring Wheat,MW,3/1/1980,4/5/1979,USD,Agricultural,20Y,,,,,
Oats,O,3/1/1979,4/26/1978,USD,Agricultural,20Y,,,,,
Canola,RS,1/1/1981,11/18/1980,CAD,Agricultural,20Y,,,,,
Soybean,S,1/1/1979,11/21/1977,USD,Agricultural,20Y,,,,,
Soybean Meal,SM,1/1/1979,1/25/1978,USD,Agricultural,20Y,,,,,
Chicago SRW Wheat,W,3/1/1979,1/5/1978,USD,Agricultural,20Y,,,,,
Feeder Cattle,FC,1/1/1980,1/22/1979,USD,Agricultural,20Y,,,,,
Live Cattle,LC,2/1/1980,10/23/1978,USD,Agricultural,20Y,,,,,
Lean Hogs,LH,2/1/1980,11/14/1979,USD,Agricultural,20Y,,,,,
Rough Rice,RR,11/1/1986,8/20/1986,USD,Agricultural,20Y,,,,,
White Sugar,LSU,3/1/1990,9/13/1988,USD,Agricultural,20Y,,,,,
Feed Wheat,LWB,6/1/1992,12/2/1991,GBP,Agricultural,20Y,,,,,
NY Harbor ULSD,HO,12/1/1979,2/2/1979,USD,Non-Agricultural,20Y,,,,,
Gold,GC,1/1/1980,10/30/1979,USD,Non-Agricultural,20Y,,,,,
Platinum,PL,1/1/1980,5/15/1978,USD,Non-Agricultural,20Y,,,,,
Silver,SI,1/1/1980,3/1/1978,USD,Non-Agricultural,20Y,,,,,
Palladium,PA,12/1/1982,11/1/1982,USD,Non-Agricultural,20Y,,,,,
Mini-Gold,YG,6/1/1984,6/13/1984,USD,Non-Agricultural,20Y,,,,,
mini-sized Silver,YI,5/1/1983,4/15/1983,USD,Non-Agricultural,20Y,,,,,
Crude Oil,CL,6/1/1983,3/30/1983,USD,Non-Agricultural,20Y,,,,,
Copper,HG,1/1/1989,7/29/1988,USD,Non-Agricultural,20Y,,,,,
Brent Crude Oil,BC,9/1/1988,6/23/1988,USD,Non-Agricultural,20Y,,,,,
Gas Oil,GO,8/1/1989,11/10/1988,USD,Non-Agricultural,20Y,,,,,
Henry Hub Natural Gas,NG,6/1/1990,4/3/1990,USD,Non-Agricultural,20Y,,,,,
British Pound,BP,3/1/1980,3/20/1979,USD,Currencies,20Y,,,,,
Canadian Dollar,CD,3/1/1980,3/5/1979,USD,Currencies,20Y,,,,,
Japanese Yen,JY,3/1/1980,5/1/1979,USD,Currencies,20Y,,,,,
Swiss Franc,SF,3/1/1980,3/20/1979,USD,Currencies,20Y,,,,,
Australian Dollar,AD,3/1/1987,1/13/1987,USD,Currencies,20Y,,,,,
Mexican Peso,MP,6/1/1995,4/25/1995,USD,Currencies,20Y,,,,,
30-Year U.S. Treasury Bond,US,3/1/1980,3/6/1978,USD,Interest Rates,20Y,,,,,
Eurodollar,ED,6/1/1982,2/1/1982,USD,Interest Rates,20Y,,,,,
10-Year U.S. Treasury Note,TY,6/1/1982,5/3/1982,USD,Interest Rates,20Y,,,,,
ASX 10 Year Treasury Bond,YXB,3/1/1985,12/5/1984,AUD,Interest Rates,20Y,,,,,
Three-Month Canadian Bankers Acceptance,BAX,6/1/1988,4/22/1988,CAD,Interest Rates,20Y,,,,,
30 Day Federal Funds,FF,10/1/1988,10/3/1988,USD,Interest Rates,20Y,,,,,
Long Gilt,LLG,9/1/1988,2/23/1988,GBP,Interest Rates,20Y,,,,,
Three Month Sterling (Short Sterling),LSS,9/1/1990,8/17/1990,GBP,Interest Rates,20Y,,,,,
2-Year U.S. Treasury Note,TU,9/1/1990,6/22/1990,USD,Interest Rates,20Y,,,,,
ASX 90 Day Bank Accepted Bills,YIR,3/1/1991,3/10/1989,AUD,Interest Rates,20Y,,,,,
ASX 3 Year Treasury Bond,YYB,6/1/1988,5/17/1988,AUD,Interest Rates,20Y,,,,,
5-Year U.S. Treasury Note,FV,6/1/1988,5/20/1988,USD,Interest Rates,20Y,,,,,
Three Month Euro Swiss Franc (Euro-Swiss),LES,12/1/1991,9/24/1991,CHF,Interest Rates,20Y,,,,,
Ten-Year Government of Canada Bond,CGB,3/1/1997,10/2/1996,CAD,Interest Rates,20Y,,,,,
US Dollar Index,DX,3/1/1986,11/20/1985,USD,Indicies,20Y,,,,,
S&P 500,SP,6/1/1982,4/21/1982,USD,Indicies,20Y,,,,,
ASX SPI 200 Merged,SPIM,3/1/1983,2/16/1983,AUD,Indicies,20Y,,,,,
CAC 40,FCE,9/1/1988,8/18/1988,EUR,Indicies,20Y,,,,,
Nikkei 225 Dollar,NK,12/1/1990,9/25/1990,USD,Indicies,20Y,,,,,
Nikkei 225 (SGX),SNI,9/1/1990,9/21/1989,JPY,Indicies,20Y,,,,,
S&P GSCI,GI,7/1/1996,4/15/1996,USD,Indicies,20Y,,,,,
Hang Seng Index,HS,4/1/1996,4/1/1996,HKD,Indicies,20Y,,,,,
FTSE 100,LFT,12/1/1994,10/11/1994,GBP,Indicies,20Y,,,,,
MSCI Taiwan Index,STW,3/1/1997,1/9/1997,USD,Indicies,20Y,,,,,
,,,,,,,,,,,
Soybean Oil,BO,1/1/1979,1/17/1978,USD,Agricultural,25Y,,,,,
Cocoa,CC,12/1/1980,12/19/1979,USD,Agricultural,25Y,,,,,
Cotton No. 2,CT,3/1/1980,9/19/1978,USD,Agricultural,25Y,,,,,
Coffee C,KC,3/1/1980,12/14/1978,USD,Agricultural,25Y,,,,,
Random Length Lumber,LB,1/1/1980,3/21/1979,USD,Agricultural,25Y,,,,,
London Cocoa,LCC,3/1/1983,10/1/1981,GBP,Agricultural,25Y,,,,,
Robusta Coffee 10 Tonne,LRC,1/1/1983,12/1/1981,USD,Agricultural,25Y,,,,,
FCOJ-A,OJ,1/1/1980,8/8/1978,USD,Agricultural,25Y,,,,,
Sugar No. 11,SB,1/1/1980,9/21/1978,USD,Agricultural,25Y,,,,,
Corn,C,3/1/1979,1/4/1978,USD,Agricultural,25Y,,,,,
KC HRW Wheat,KW,3/1/1980,4/23/1979,USD,Agricultural,25Y,,,,,
Hard Red Spring Wheat,MW,3/1/1980,4/5/1979,USD,Agricultural,25Y,,,,,
Oats,O,3/1/1979,4/26/1978,USD,Agricultural,25Y,,,,,
Canola,RS,1/1/1981,11/18/1980,CAD,Agricultural,25Y,,,,,
Soybean,S,1/1/1979,11/21/1977,USD,Agricultural,25Y,,,,,
