name,market code,roll out month,roll in month,month,day
norgate,UL,Mar,Jun,Feb,26
,,Jun,Sep,May,28
,,Sep,Dec,Aug,28
,,Dec,Mar,Nov,28
norgate,US,Mar,Jun,Feb,26
,,Jun,Sep,May,28
,,Sep,Dec,Aug,28
,,Dec,Mar,Nov,28
norgate,YIB,Jan,Feb,Jan,1
,,Feb,Mar,Feb,1
,,Mar,Apr,Mar,1
,,Apr,May,Apr,1
,,May,Jun,May,1
,,Jun,Jul,Jun,1
,,Jul,Aug,Jul,1
,,Aug,Sep,Aug,1
,,Sep,Oct,Sep,1
,,Oct,Nov,Oct,1
,,Nov,Dec,Nov,1
,,Dec,Jan,Dec,1
norgate,YIR,Mar,Jun,Dec,12
,,Jun,Sep,Mar,12
,,Sep,Dec,Jun,12
,,Dec,Mar,Sep,12
norgate,YXB,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
norgate,YYB,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
norgate,FC,Jan,Mar,Dec,23
,,Mar,Apr,Feb,24
,,Apr,May,Mar,24
,,May,Aug,Apr,24
,,Aug,Sep,Jul,24
,,Sep,Oct,Aug,24
,,Oct,Nov,Sep,24
,,Nov,Jan,Oct,24
norgate,LC,Feb,Apr,Jan,23
,,Apr,Jun,Mar,23
,,Jun,Aug,May,23
,,Aug,Oct,Jul,23
,,Oct,Dec,Sep,23
,,Dec,Feb,Nov,23
norgate,LH,Feb,Apr,Jan,23
,,Apr,Jun,Mar,23
,,Jun,Aug,May,23
,,Aug,Oct,Jul,23
,,Oct,Dec,Sep,23
,,Dec,Feb,Nov,23
norgate,GC,Feb,Apr,Jan,25
,,Apr,Jun,Mar,25
,,Jun,Aug,May,25
,,Aug,Dec,Jul,25
,,Dec,Feb,Nov,25
norgate,HG,Mar,May,Feb,25
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,PA,Mar,Jun,Feb,24
,,Jun,Sep,May,26
,,Sep,Dec,Aug,26
,,Dec,Mar,Nov,26
norgate,PL,Jan,Apr,Dec,23
,,Apr,Jul,Mar,25
,,Jul,Oct,Jun,25
,,Oct,Jan,Sep,25
norgate,SI,Mar,May,Feb,25
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,YG,Feb,Apr,Jan,25
,,Apr,Jun,Mar,25
,,Jun,Aug,May,25
,,Aug,Dec,Jul,25
,,Dec,Feb,Nov,25
norgate,YI,Mar,May,Feb,25
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,ZG,Feb,Apr,Jan,25
,,Apr,Jun,Mar,25
,,Jun,Aug,May,25
,,Aug,Dec,Jul,25
,,Dec,Feb,Nov,25
norgate,ZI,Mar,May,Feb,25
,,May,Jul,Apr,25
,,Jul,Sep,Jun,25
,,Sep,Dec,Aug,25
,,Dec,Mar,Nov,25
norgate,BC,Jan,Feb,Nov,28
,,Feb,Mar,Dec,28
,,Mar,Apr,Jan,28
,,Apr,May,Feb,26
,,May,Jun,Mar,28
,,Jun,Jul,Apr,28
,,Jul,Aug,May,28
,,Aug,Sep,Jun,28
,,Sep,Oct,Jul,28
,,Oct,Nov,Aug,28
,,Nov,Dec,Sep,28
,,Dec,Jan,Oct,28
norgate,CL,Jan,Feb,Dec,14
,,Feb,Mar,Jan,14
,,Mar,Apr,Feb,14
,,Apr,May,Mar,14
